dT, dZ, a, b,
0.008,0.75,0.216407822446,0.210776410394,
0.009,0.75,0.228539073347,0.211460838532,
0.01,0.75,0.23782446663,0.217451377866,
0.011,0.75,0.249493247735,0.21760289898,
0.012,0.75,0.259649525088,0.218228517645,
0.013,0.75,0.269009523613,0.222971133024,
0.015,0.75,0.2886175183,0.22138245071,
0.016,0.75,0.293784471844,0.228646548652,
0.017,0.75,0.303274807419,0.22672519047,
0.018,0.75,0.308129462463,0.23463531504,
0.019,0.75,0.31392371847,0.238832720305,
0.02,0.75,0.320991453624,0.240717899329,
0.021,0.75,0.326995349458,0.243423554635,
0.022,0.75,0.330911299331,0.250059829571,
0.023,0.75,0.34068278646,0.245147819619,
0.024,0.75,0.34640268861,0.248263873478,
0.025,0.75,0.350096069644,0.253732848836,
0.026,0.75,0.358159584768,0.251114015313,
0.027,0.75,0.363053544885,0.254586450589,
0.03,0.75,0.368809256272,0.276605455706,
0.031,0.75,0.375201171028,0.277310950074,
0.032,0.75,0.376435268747,0.285280239835,
0.033,0.75,0.381029536213,0.287940901408,
0.034,0.75,0.384060182828,0.29187961716,
0.035,0.75,0.390697643672,0.291927373632,
0.036,0.75,0.392215802211,0.297784183869,
0.037,0.75,0.399040213156,0.296462955635,
0.038,0.75,0.402842608706,0.299173138558,
0.039,0.75,0.401408758151,0.314975853094,
0.04,0.75,0.405551191639,0.318032289354,
0.042,0.75,0.412818804893,0.322617433724,
0.043,0.75,0.415147764081,0.327674926128,
0.044,0.75,0.417858824461,0.331389530421,
0.045,0.75,0.425132085162,0.324603064534,
0.046,0.75,0.428171027179,0.327165800411,
0.047,0.75,0.422988740141,0.343607119907,
0.048,0.75,0.428854953986,0.341920719607,
0.049,0.75,0.431577733911,0.344962649414,
0.05,0.75,0.431139069707,0.353245224594,
0.051,0.75,0.439308717736,0.347426361386,
0.052,0.75,0.439998404899,0.354301433598,
0.053,0.75,0.448459986902,0.348230752187,
0.054,0.75,0.450806124586,0.352075688401,
0.055,0.75,0.455804365951,0.350789333063,
0.057,0.75,0.464508391112,0.349394972717,
0.059,0.75,0.468631500556,0.358057038703,
0.06,0.75,0.473600729873,0.356011409519,
0.061,0.75,0.474439453966,0.362404641803,
0.062,0.75,0.479165332608,0.360068317783,
0.063,0.75,0.478542065436,0.366476582625,
0.064,0.75,0.483078819199,0.364725758753,
0.065,0.75,0.48361720202,0.370468737713,
0.066,0.75,0.488050885459,0.369337143567,
0.067,0.75,0.488382457243,0.37559381194,
0.068,0.75,0.490858233479,0.376850712992,
0.069,0.75,0.497870358773,0.369740564354,
0.07,0.75,0.500497089167,0.371490151014,
0.071,0.75,0.50160753377,0.377099785546,
0.072,0.75,0.504053090664,0.379395254373,
0.073,0.75,0.50706837547,0.380014010355,
0.074,0.75,0.509647806055,0.382284915817,
0.075,0.75,0.511380461758,0.384572286327,
0.076,0.75,0.514252377282,0.384687799432,
0.077,0.75,0.516262156512,0.395840365354,
0.078,0.75,0.518145695675,0.397839938011,
0.079,0.75,0.521560765238,0.389930289465,
0.08,0.75,0.518895445393,0.398970430205,
0.081,0.75,0.526147676293,0.393498001702,
0.083,0.75,0.527474820525,0.400530379308,
0.084,0.75,0.526042531185,0.40773514107,
0.085,0.75,0.538504927566,0.399438898678,
0.086,0.75,0.54087940277,0.401406674972,
0.087,0.75,0.541139929217,0.40159470977,
0.088,0.75,0.541164694086,0.406505761319,
0.089,0.75,0.546663133973,0.402299688581,
0.09,0.75,0.547912760613,0.406249009332,
0.091,0.75,0.551474309229,0.404019779145,
0.092,0.75,0.554306084885,0.405320493098,
0.093,0.75,0.554247366876,0.410665006263,
0.094,0.75,0.559341298597,0.40794337162,
0.095,0.75,0.55568644258,0.422329203262,
0.096,0.75,0.557424347513,0.424033629366,
0.098,0.75,0.563193843882,0.425108810929,
0.099,0.75,0.567013289036,0.422986598179,
0.1,0.75,0.565411240393,0.431357774399,
0.007,0.75,0.202364330978,0.211561107009,
0.014,0.75,0.277874723679,0.224051518334,
0.028,0.75,0.366291952615,0.259818009041,
0.029,0.75,0.366715304785,0.269207802994,
0.041,0.75,0.408446898809,0.321138047768,
0.056,0.75,0.459823835817,0.351802024068,
0.058,0.75,0.465407683594,0.356416727329,
0.082,0.75,0.525121272641,0.399420639317,
0.097,0.75,0.559767802441,0.425644013973,
